gene_name,interaction_type,drug_name,approved
PIK3CA,NULL,FLUOROURACIL,TRUE
CAV1,NULL,DEHYDRATED ALCOHOL,TRUE
ADM,NULL,"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",TRUE
TSHR,NULL,LY-255283,FALSE
SIRT3,inhibitor,PANOBINOSTAT,TRUE
BDNF,NULL,GEMFIBROZIL,TRUE
PTAFR,NULL,TICLOPIDINE,TRUE
GHSR,NULL,ULIMORELIN HYDROCHLORIDE,FALSE
MUC1,NULL,SAR-566658,FALSE
IDH1,NULL,CHEMBL:CHEMBL1998001,FALSE
NQO1,NULL,CHEMBL:CHEMBL1287895,FALSE
PARP2,inhibitor,2X-121,FALSE
IDH1,NULL,TANNIC ACID,TRUE
HPGD,NULL,TRICLOSAN,TRUE
EHMT2,NULL,CHEMBL:CHEMBL582737,FALSE
DHFR,inhibitor,METHOTREXATE,TRUE
EHMT2,NULL,CHEMBL:CHEMBL600298,FALSE
ADRB2,NULL,ANTIDEPRESSANT AGENT,FALSE
H2AZ1,inhibitor,ERW1041E,FALSE
IL13,inhibitor,LEBRIKIZUMAB,FALSE
NOS2,NULL,"IBUPROFEN, SODIUM SALT",TRUE
G6PD,NULL,SULFAMETHOXAZOLE,TRUE
CACNG7,blocker,SULOCTIDIL,TRUE
SSTR5,NULL,OCTREOTIDE ACETATE,TRUE
FLT4,NULL,CEDIRANIB,FALSE
TUBB4B,NULL,VINCRISTINE,TRUE
CTSC,NULL,PENTOSAN POLYSULFATE,TRUE
CYP3A5,NULL,VARDENAFIL,TRUE
DPH1,inhibitor,BMS-536924,FALSE
ADGRL3,NULL,NICOTINE POLACRILEX,TRUE
CDKN2A,NULL,ABEMACICLIB,TRUE
MTOR,inhibitor,VISTUSERTIB,FALSE
IDH1,NULL,GITOXIN,FALSE
FMO3,NULL,ITOPRIDE,FALSE
ABCA3,inhibitor,MRS1505,FALSE
KLF5,blocker,5-HYDROXYMETHYL-2-FURFURAL,FALSE
DXO,inhibitor,ERLOTINIB,TRUE
FRA5D,inhibitor,COMPOUND 9 [PMID: 3514912],FALSE
CBLN1,inhibitor,THREO-3-METHYLGLUTAMATE,FALSE
CASP7,NULL,BITHIONOL,TRUE
ADCYAP1,NULL,PROPRANOLOL HYDROCHLORIDE,TRUE
NRAS,NULL,AZACITIDINE,TRUE
CYP2C9,NULL,CHEMBL:CHEMBL258465,FALSE
KRAS,NULL,COBIMETINIB,TRUE
EHMT2,NULL,ERGOCRISTINE,FALSE
APOF,agonist,PZM21,FALSE
DRD3,NULL,APOMORPHINE,TRUE
A12M1,agonist,ZIPRASIDONE,TRUE
CSTF3,inhibitor,PIFUSERTIB,FALSE
DPYS,inhibitor,PF-562271,FALSE
RRM1,NULL,PACLITAXEL,TRUE
GRIN2C,inhibitor,L689560,FALSE
GABRQ,positive modulator,BUTALBITAL,TRUE
BCL2,NULL,ERYTHROMYCIN,TRUE
SLC29A1,inhibitor,LADUVIGLUSIB,FALSE
CYP3A4,NULL,6-O-BENZYLGUANINE,FALSE
DRD2,agonist,QUINAGOLIDE,FALSE
F2R,inhibitor,"N-(5-{4-CHLORO-3-[(2-HYDROXYETHYL)SULFAMOYL]PHENYL}-4-METHYL-1,3-THIAZOL-2-YL)ACETAMIDE",FALSE
HSP90AA1,NULL,CHEMBL:CHEMBL1256761,FALSE
EHMT2,NULL,THYMOL IODIDE,TRUE
GABRQ,NULL,TRIAZOLAM,TRUE
GRIN1,negative modulator,ESKETAMINE,TRUE
RPSA,inhibitor,CHLORAMPHENICOL SODIUM SUCCINATE,TRUE
GRIN3A,inhibitor,AV-101,FALSE
GAPDH,NULL,CHEMBL:CHEMBL502775,FALSE
RACGAP1,NULL,CHEMBL:CHEMBL526776,FALSE
TERT,NULL,CHEMBL:CHEMBL481161,FALSE
TUBB8,modulator,DAVUNETIDE,FALSE
CDKN2A,NULL,LETROZOLE,TRUE
JAK1,NULL,PEMBROLIZUMAB,TRUE
MAOB,NULL,CHEMBL:CHEMBL1927670,FALSE
EEF1D,inhibitor,KW-2449,FALSE
IL23A,inhibitor,BRIAKINUMAB,FALSE
HSP90AB1,NULL,ZEARALENONE,FALSE
TOP1,NULL,AESCULIOSIDE IIA,FALSE
C4BPAP2,inhibitor,CARBENOXOLONE,FALSE
CHRM5,NULL,BENZQUINAMIDE,TRUE
ITGA2B,inhibitor,ZALUNFIBAN,FALSE
FRA1L,inhibitor,NTE-1,FALSE
CDKN2A,NULL,ABEMACICLIB,TRUE
CBX1,NULL,SB 242084,FALSE
FANCC,NULL,MELPHALAN,TRUE
GMNN,NULL,N-ETHYLMALEIMIDE,FALSE
EYA4,NULL,ETANERCEPT-SZZS,TRUE
NFE2L2,NULL,ETHACRYNIC ACID,TRUE
FEN1,NULL,CHEMBL:CHEMBL68096,FALSE
SIRT1,NULL,SRT2104,FALSE
KCNN2,NULL,DEQUALINIUM,TRUE
KDM4A,NULL,THIORIDAZINE,TRUE
GABRD,NULL,GANAXOLONE,TRUE
ALOX15,NULL,SILVER SULFADIAZINE,TRUE
ALDH2,inhibitor,SERTINDOLE,TRUE
RAB9A,NULL,CHEMBL:CHEMBL1389794,FALSE
EFR3A,NULL,ASPIRIN,TRUE
WBP2NL,NULL,TRAMADOL,TRUE
MITF,NULL,CHEMBL:CHEMBL125044,FALSE
MSTN,inhibitor,DACINOSTAT,FALSE
EGFR,NULL,EPIDERMAL GROWTH FACTOR RECEPTOR TYROSINE KINASE INHIBITOR,FALSE
CACNB1,blocker,PHLOROGLUCINOL,TRUE
HSP90AA1,NULL,CYCLOHEXIMIDE,FALSE
GNRHR,agonist,ALARELIN,FALSE
KDM4C,NULL,CHEMBL:CHEMBL1526167,FALSE
HSPB1,NULL,GUGGULSTERONE,FALSE
P2RY12,inhibitor,TICLOPIDINE HYDROCHLORIDE,TRUE
ABL1,inhibitor,NILOTINIB,TRUE
BBS4,inhibitor,AM-6120,FALSE
AR,NULL,ORBIFLOXACIN,FALSE
STAT3,NULL,CHEMBL:CHEMBL530664,FALSE
CTAA1,inhibitor,G&OUML; 6983,FALSE
A2MP1,agonist,XANOMELINE,FALSE
GRIA3,NULL,SELURAMPANEL,FALSE
AQP8,agonist,MISOPROSTOL,TRUE
CYP2D6,NULL,E4031,FALSE
NFE2L2,NULL,CHEMBL:CHEMBL578675,FALSE
HTR3D,NULL,PUMOSETRAG,FALSE
BRCA1,NULL,OLAPARIB,TRUE
CHRM2,NULL,DOXACURIUM CHLORIDE,TRUE
CCR2,NULL,PLOZALIZUMAB,FALSE
DPYD,NULL,URACIL,TRUE
MAPT,NULL,RESERPINE,TRUE
PRKD2,NULL,BAY 61-3606,FALSE
PIK3C2A,inhibitor,DACTOLISIB,FALSE
IDH1,NULL,MICHLER'S KETONE,FALSE
SFTPA1,NULL,TRICHOSTATIN A,FALSE
APOE,NULL,LORAZEPAM,TRUE
DPEP1,NULL,CILASTATIN,TRUE
ABL2,inhibitor,APOMORPHINE,TRUE
CACNA1C,NULL,AMLODIPINE BESYLATE,TRUE
GABRE,positive modulator,METHOHEXITAL SODIUM,TRUE
FEN1,NULL,CHEMBL:CHEMBL1287983,FALSE
RXRG,modulator,MOFAROTENE,FALSE
SMN2,NULL,2-(2'-METHOXYPHENYL)-1H-INDOLE,FALSE
ACACA,agonist,CASOXIN C,FALSE
HDAC8,NULL,PANOBINOSTAT,TRUE
MITF,NULL,CHEMBL:CHEMBL1478462,FALSE
IDH1,NULL,CHEMBL:CHEMBL515617,FALSE
F5,inhibitor,AZD8835,FALSE
